"","Submission.id","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","65fdc439d78b83735eacceca","AWAITING REVIEW","Not Applicable","2024-03-22T17:47:51.477000Z","2024-03-22T19:08:42.912000Z",NA,"2024-03-22T19:08:43.312376Z",4852,"C6UC3A24",8,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF61251"
"2","65fdc810943d2c23752a24a8","AWAITING REVIEW","Not Applicable","2024-03-22T18:04:04.832000Z","2024-03-22T19:22:33.650000Z",NA,"2024-03-22T19:22:34.076248Z",4709,"C6UC3A24",28,"English, Urdu","No","25","Male","Asian","Pakistan","United Kingdom","Pakistan","English","No","Full-Time","SUPPRF06189"
"3","65fe1b1d1e16876d59dc5f42","AWAITING REVIEW","Not Applicable","2024-03-22T23:58:26.105000Z","2024-03-23T00:42:00.698000Z",NA,"2024-03-23T00:42:01.241879Z",2615,"C6UC3A24",111,"Arabic, English, Hindi, Urdu","No","25","Male","Asian","Pakistan","United Kingdom","DATA_EXPIRED","English","No","DATA_EXPIRED","SUPPRF00748"
"4","660054d858ab804f5f5af5b8","AWAITING REVIEW","Not Applicable","2024-03-24T16:29:16.185000Z","2024-03-24T17:54:31.336000Z",NA,"2024-03-24T17:54:31.760121Z",5116,"C6UC3A24",402,"English, French","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF44269"
"5","66017d3ddf20d46323ba2ab7","AWAITING REVIEW","Not Applicable","2024-03-25T13:33:57.558000Z","2024-03-25T14:24:11.497000Z",NA,"2024-03-25T14:24:12.182161Z",3014,"C6UC3A24",955,"English","No","22","Female","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF97228"
"6","660182ca861e0cd143091963","AWAITING REVIEW","Not Applicable","2024-03-25T13:58:58.439000Z","2024-03-25T14:45:02.530000Z",NA,"2024-03-25T14:45:03.978409Z",2765,"C6UC3A24",295,"English","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Unemployed (and job seeking)","SUPPRF95311"
"7","660186cda1c64256036bb336","AWAITING REVIEW","Not Applicable","2024-03-25T14:14:44.294000Z","2024-03-25T15:07:13.354000Z",NA,"2024-03-25T15:07:13.829677Z",3150,"C6UC3A24",253,"Portuguese, English","No","25","Female","Mixed","Brazil","United Kingdom","Brazil","Portuguese","No","Full-Time","SUPPRF48071"
"8","66018a9e515ef50a88317f5e","AWAITING REVIEW","Not Applicable","2024-03-25T14:31:00.218000Z","2024-03-25T15:46:03.635000Z",NA,"2024-03-25T15:46:04.497781Z",4504,"C6UC3A24",8,"Afrikaans, Bulgarian, English","No","23","Female","Black","Zimbabwe","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF72649"
"9","65feee085c09843d4abe518b","RETURNED","Not Applicable","2024-03-23T14:59:06.214000Z","",NA,"",NA,"",1139,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","SUPPRF74201"
"10","65fefe7c948544ef2616ec5c","RETURNED","Not Applicable","2024-03-23T16:08:31.258000Z","",NA,"",NA,"",509,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","SUPPRF36280"
"11","6601cb868c4c847f2e11c901","AWAITING REVIEW","Not Applicable","2024-03-25T19:08:00.781000Z","2024-03-25T20:07:57.790000Z",NA,"2024-03-25T20:11:19.195537Z",3598,"C6UC3A24",19,"English","No","22","Female","Other","United States","United States","United States","English","No","Part-Time","SUPPRF75031"
"12","6601cd67faa97a294fe3db4c","AWAITING REVIEW","Not Applicable","2024-03-25T19:17:00.314000Z","2024-03-25T20:26:09.132000Z",NA,"2024-03-25T20:28:16.500385Z",4149,"C6UC3A24",1067,"English, Hindi, Urdu, Punjabi","No","24","Female","Asian","Pakistan","United States","United States","Punjabi","No","Due to start a new job within the next month","SUPPRF36782"
"13","66020a14fed03f0a4e034fb5","AWAITING REVIEW","Not Applicable","2024-03-25T23:34:48.568000Z","2024-03-26T00:19:12.492000Z",NA,"2024-03-26T00:20:04.252527Z",2664,"C6UC3A24",148,"English","No","24","Female","White","United States","United States","United States","English","No","Full-Time","SUPPRF49898"
"14","660238f01be858ed29072393","AWAITING REVIEW","Not Applicable","2024-03-26T02:54:44.588000Z","2024-03-26T03:46:49.246000Z",NA,"2024-03-26T03:47:17.472773Z",3125,"C6UC3A24",871,"English","No","25","Female","White","United States","United States","United States","English","No","Full-Time","SUPPRF60894"
"15","6602563d86cb8962f2d42b1f","AWAITING REVIEW","Not Applicable","2024-03-26T05:01:18.028000Z","2024-03-26T05:55:44.455000Z",NA,"2024-03-26T05:55:45.015613Z",3267,"NOCODE",62,"English","No","23","Male","White","United States","United States","United States","English","No","Part-Time","SUPPRF90238"
"16","66025d2d6e435259d20b2437","AWAITING REVIEW","Not Applicable","2024-03-26T05:29:21.111000Z","2024-03-26T06:16:31.630000Z",NA,"2024-03-26T06:16:32.133969Z",2831,"C6UC3A24",255,"English","No","21","Female","White","United States","United States","United States","English","No","Part-Time","SUPPRF18827"
"17","6602a30233c28bbe2e29631e","AWAITING REVIEW","Not Applicable","2024-03-26T10:27:18.294000Z","2024-03-26T11:25:17.208000Z",NA,"2024-03-26T11:25:17.709308Z",3479,"C6UC3A24",313,"English","No","22","Female","Asian","Sri Lanka","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF28922"
"18","6602c9270bfcef8b81cfcfc1","AWAITING REVIEW","Not Applicable","2024-03-26T13:10:03.487000Z","2024-03-26T14:04:54.741000Z",NA,"2024-03-26T14:05:50.335231Z",3292,"C6UC3A24",587,"Czech, English, Italian","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF15230"
"19","6602caaad4a7d0315c1ff519","AWAITING REVIEW","Not Applicable","2024-03-26T13:16:36.040000Z","2024-03-26T14:04:54.429000Z",NA,"2024-03-26T14:05:51.007850Z",2899,"C6UC3A24",108,"English, Gaelic","No","22","Female","White","United Kingdom","United Kingdom","Ireland","English","No","Part-Time","SUPPRF71225"
"20","660346ec51abc7fef86aea9b","AWAITING REVIEW","Not Applicable","2024-03-26T22:06:38.454000Z","2024-03-26T22:51:01.432000Z",NA,"2024-03-26T22:51:01.850959Z",2663,"C6UC3A24",1413,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF36908"
"21","6603483a0fced9aa15df47c8","AWAITING REVIEW","Not Applicable","2024-03-26T22:12:18.486000Z","2024-03-26T22:54:27.264000Z",NA,"2024-03-26T22:54:27.753283Z",2529,"C6UC3A24",1519,"English","No","23","Female","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF73842"
"22","66034aa4176b5e7700bfbd43","AWAITING REVIEW","Not Applicable","2024-03-26T22:22:31.584000Z","2024-03-26T23:15:08.917000Z",NA,"2024-03-27T00:24:48.509335Z",3158,"C6UC3A24",8,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF19080"
"23","66036ed4656160b776bfd2e6","AWAITING REVIEW","Not Applicable","2024-03-27T00:56:58.412000Z","2024-03-27T01:44:00.322000Z",NA,"2024-03-27T01:44:19.184334Z",2822,"C6UC3A24",58,"English","No","24","Female","Asian","United States","United States","United States","English","Yes","Full-Time","SUPPRF82977"
"24","660372e018d54aa27880a18e","AWAITING REVIEW","Not Applicable","2024-03-27T01:14:13.085000Z","2024-03-27T02:05:18.787000Z",NA,"2024-03-27T02:05:19.407173Z",3066,"C6UC3A24",20,"English","No","20","Female","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF52847"
