"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"1",1718723197546,"18/06/2024 15:06:37",1718726797546,1,"18/06/2024 17:06:37",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM91602"
"2",1718723207542,"18/06/2024 15:06:47",1718726807542,1,"18/06/2024 17:06:47",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",10019.2349999642,10000.696,10019.2349999642,10019.2349999642,10000.696,10019.2349999642,1,10019.2349999642,0,0,NA,"Click To Continue","Continue Button",16,"object-48","BIQ",NA,"SUPLCM91602"
"3",1718723207543,"18/06/2024 15:06:47",1718726807543,1,"18/06/2024 17:06:47",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",3966.746,10000.696,10021.7349999642,3966.746,10000.696,10021.7349999642,1,3966.746,6054.98899996424,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPLCM91602"
"4",1718723207544,"18/06/2024 15:06:47",1718726807544,1,"18/06/2024 17:06:47",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",9334.016,10000.696,10022.4349999523,9334.016,10000.696,10022.4349999523,1,9334.016,688.418999952317,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPLCM91602"
"5",1718723213725,"18/06/2024 15:06:53",1718726813725,1,"18/06/2024 17:06:53",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"continue","",6200.124,6166.79,6200.124,6200.124,6166.79,6200.124,1,6200.124,0,0,NA,"Click To Continue","Continue Button",7,"object-1017","BIQ",NA,"SUPLCM91602"
"6",1718723213730,"18/06/2024 15:06:53",1718726813730,1,"18/06/2024 17:06:53",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","5",2933.392,6166.79,6200.124,2933.392,6166.79,6200.124,1,2933.392,3266.732,0,NA,"Rating Scale","Rating Scale",8,"object-118","BIQ",NA,"SUPLCM91602"
"7",1718723213730,"18/06/2024 15:06:53",1718726813730,1,"18/06/2024 17:06:53",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","4",5433.442,6166.79,6200.124,5433.442,6166.79,6200.124,1,5433.442,766.681999999997,0,NA,"Rating Scale","Rating Scale",10,"object-121","BIQ",NA,"SUPLCM91602"
"8",1718723224254,"18/06/2024 15:07:04",1718726824254,1,"18/06/2024 17:07:04",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"continue","",10564.149,10533.938,10564.149,10564.149,10533.938,10564.149,1,10564.149,0,0,NA,"Click To Continue","Continue Button",15,"object-50","BIQ",NA,"SUPLCM91602"
"9",1718723224257,"18/06/2024 15:07:04",1718726824257,1,"18/06/2024 17:07:04",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","5",3733.802,10533.938,10567.272,3733.802,10533.938,10567.272,1,3733.802,6833.47,0,NA,"Rating Scale","Rating Scale",2,"object-36","BIQ",NA,"SUPLCM91602"
"10",1718723224259,"18/06/2024 15:07:04",1718726824259,1,"18/06/2024 17:07:04",180348,2,"task-7hcp",NA,38357260,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","5",7200.538,10533.938,10567.272,7200.538,10533.938,10567.272,1,7200.538,3366.734,0,NA,"Rating Scale","Rating Scale",9,"object-86","BIQ",NA,"SUPLCM91602"
