"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"1",1718723402309,"18/06/2024 15:10:02",1718727002309,1,"18/06/2024 17:10:02",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM91602"
"2",1718723406846,"18/06/2024 15:10:06",1718727006846,1,"18/06/2024 17:10:06",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4494.44900001192,4466.756,4494.44900001192,4494.44900001192,4466.756,4494.44900001192,1,4494.44900001192,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPLCM91602"
"3",1718723409904,"18/06/2024 15:10:09",1718727009904,1,"18/06/2024 17:10:09",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",3086.99300002384,3067.301,3086.99300002384,3086.99300002384,3067.301,3086.99300002384,1,3086.99300002384,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPLCM91602"
"4",1718723415576,"18/06/2024 15:10:15",1718727015576,1,"18/06/2024 17:10:15",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",5691.19200002384,5666.78,5691.19200002384,5691.19200002384,5666.78,5691.19200002384,1,5691.19200002384,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPLCM91602"
"5",1718723422287,"18/06/2024 15:10:22",1718727022287,1,"18/06/2024 17:10:22",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",6733.88,6700.546,6733.88,6733.88,6700.546,6733.88,1,6733.88,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPLCM91602"
"6",1718723425873,"18/06/2024 15:10:25",1718727025873,1,"18/06/2024 17:10:25",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",3620.46600004768,3600.072,3620.46600004768,3620.46600004768,3600.072,3620.46600004768,1,3620.46600004768,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPLCM91602"
"7",1718723431036,"18/06/2024 15:10:31",1718727031036,1,"18/06/2024 17:10:31",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",5182.99400001192,5167.262,5182.99400001192,5182.99400001192,5167.262,5182.99400001192,1,5182.99400001192,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPLCM91602"
"8",1718723435201,"18/06/2024 15:10:35",1718727035201,1,"18/06/2024 17:10:35",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",4180.63200004768,4166.75,4180.63200004768,4180.63200004768,4166.75,4180.63200004768,1,4180.63200004768,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPLCM91602"
"9",1718723437865,"18/06/2024 15:10:37",1718727037865,1,"18/06/2024 17:10:37",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2677.682,2667.284,2677.682,2677.682,2667.284,2677.682,1,2677.682,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPLCM91602"
"10",1718723437872,"18/06/2024 15:10:37",1718727037872,1,"18/06/2024 17:10:37",180348,2,"task-8tuj",NA,38357408,11274195,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM91602"
